year	plotid	plant	corolla_length	style_length	corolla_width	sepal_width	nectar_24_h_ul	nectar_conc	height_cm	flowers_est
2018	1A	225_18								
2018	1A	232	22.68	23.22	3.14		1.171875	26	28.2	83
2018	1A	234					3.90625	21	11.5	15
2018	1A	235_18					4.84375	27		
2018	1A	237_18								
2018	1A	238	20.75	21.35	2.9000000000000004		0.29296875	33	42.4	79
2018	1A	253	26.25	22.6	3.3499999999999996		2.03125	26	27	15
2018	1B	179							39	
2018	1B	564								
2018	1B	655	27.1	24.8	3		2.34375	34	39	70
2018	1B	662_18								
2018	1B	664	23.266666666666666	24.266666666666666	2.466666666666667		0.4166666666666667	34	27.25	29
2018	1B	665								3
2018	1B	668	19.4	14.4	2.1				24.375	
2018	1B	675							26.2	55
2018	1B	678	22.1	21.7	3.4		2.109375	29	30.166666666666668	32
2018	1B	99	17.7	18.8	2.6				32.333333333333336	22
2018	1C	275								4
2018	1C	279								4
2018	1C	29								
2018	1C	50	24.3	24.85	3.35		0.859375	37	39.5	73
2018	1C	61	20.5	22.066666666666666	2.8333333333333335		0.859375	42	19	25
2018	1C	62	21.45	20.3	2.9000000000000004				24.25	
2018	1C	67_18							26	
2018	1D	28_18								
2018	1D	29	26.666666666666664	24.166666666666668	3.0166666666666666		2.265625	26.5	33.75	97
2018	1D	50								
2018	1D	61								
2018	1D	62								
2018	2A	100_18								6
2018	2A	163								
2018	2A	168							15.5	25
2018	2A	171					1.7578125	24.5	39.333333333333336	56
2018	2A	172					2.20703125	29.333333333333332	36	47
2018	2A	189								
2018	2A	275					0.15625			
2018	2B	129	20.1	17.5	3				28	33
2018	2B	171	27.7	27.7	3.1		2.5	27		
2018	2B	172	23.3	22.2	3.2					
2018	2B	195	24.1	22.3	3		3.515625	20	26.5	38
2018	2B	199	29.6	24.6	3.4		2.03125	23.5	29.5	25
2018	2B	87					2.1875	28		
2018	2B	91	18.3	18.4	2.2		1.015625	28	14.125	
2018	2B	94	23.7	22.9	2.8		2.109375	27	30.6	82
2018	2B	98	23.1	26.3	3.5		1.25	31	26.5	49
2018	2C	100	20.925	19.875	3.2		0.78125	30.5	37.5	41
2018	2C	189_18								
2018	2C	200								
2018	2C	206								
2018	2C	212								
2018	2C	218								
2018	2C	226								
2018	2C	238					1.71875	25		
2018	2C	254	25.4	25.6	2.5					
2018	2C	258							27	28
2018	2C	263_18							39	
2018	2C	265	19.85	21.85	2.55		0.53125	42.25	29.666666666666668	89
2018	2C	266	16.2	14.75	2.7				27	18
2018	2C	275	18.5	17.3	2.8				38.4	47
2018	2C	276	21.5	24.7	3.3		1.015625	32	29.375	49
2018	2C	279	21.966666666666665	24.133333333333333	2.3		0.390625	43	44.375	15
